"","Status_Checking_Acc","Duration_in_Months","Credit_History","Purposre_Credit_Taken","Credit_Amount","Savings_Acc","Years_At_Present_Employment","Inst_Rt_Income","Marital_Status_Gender","Other_Debtors_Guarantors","Current_Address_Yrs","Property","Age","Other_Inst_Plans","Housing","Num_CC","Job","Dependents","Telephone","Foreign_Worker","Default_On_Payment","predclass"
"297","A14",12,"A32","A41",4675,"A65","A72","1","A92","A101","4","A123",20,"A143","A151","1","A173","1","A191","A201","0",0
"311","A12",48,"A32","A410",5381,"A65","A71","3","A93","A101","4","A124",40,"A141","A153","1","A171","1","A192","A201","0",1
"315","A13",4,"A32","A40",1494,"A65","A72","1","A93","A101","2","A121",29,"A143","A152","1","A172","2","A191","A202","0",0
"316","A11",36,"A31","A42",2746,"A61","A75","4","A93","A101","4","A123",31,"A141","A152","1","A173","1","A191","A201","1",1
"318","A12",24,"A32","A42",4351,"A65","A73","1","A92","A101","4","A122",48,"A143","A152","1","A172","1","A192","A201","0",1
"323","A11",24,"A32","A41",2910,"A61","A74","2","A93","A101","1","A124",34,"A143","A153","1","A174","1","A192","A201","0",0
"325","A14",18,"A34","A40",1028,"A61","A73","4","A92","A101","3","A121",36,"A143","A152","2","A173","1","A191","A201","0",0
"333","A12",60,"A32","A40",7408,"A62","A72","4","A92","A101","2","A122",24,"A143","A152","1","A174","1","A191","A201","1",1
"336","A11",6,"A34","A42",3384,"A61","A73","1","A91","A101","4","A121",44,"A143","A151","1","A174","1","A192","A201","1",1
"338","A11",15,"A32","A44",1275,"A65","A73","4","A92","A101","2","A123",24,"A143","A151","1","A173","1","A191","A201","1",1
"341","A12",24,"A34","A46",5743,"A61","A72","2","A92","A101","4","A124",24,"A143","A153","2","A173","1","A192","A201","0",1
"342","A11",21,"A32","A42",3599,"A61","A74","1","A92","A101","4","A123",26,"A143","A151","1","A172","1","A191","A201","0",1
"344","A12",18,"A32","A49",4439,"A61","A75","1","A93","A102","1","A121",33,"A141","A152","1","A174","1","A192","A201","0",1
"347","A12",13,"A34","A43",882,"A61","A72","4","A93","A103","4","A121",23,"A143","A152","2","A173","1","A191","A201","0",0
"351","A14",9,"A32","A44",1236,"A61","A72","1","A92","A101","4","A121",23,"A143","A151","1","A173","1","A192","A201","0",0
"354","A11",12,"A30","A43",6199,"A61","A73","4","A93","A101","2","A122",28,"A143","A151","2","A173","1","A192","A201","1",1
"355","A14",10,"A32","A46",727,"A63","A75","4","A93","A101","4","A124",46,"A143","A153","1","A173","1","A192","A201","0",0
"358","A14",36,"A33","A43",4463,"A61","A73","4","A93","A101","2","A123",26,"A143","A152","2","A174","1","A192","A201","1",0
"360","A11",30,"A32","A42",2406,"A61","A74","4","A92","A101","4","A121",23,"A143","A151","1","A173","1","A191","A201","1",1
"363","A13",12,"A33","A40",2247,"A61","A73","2","A92","A101","2","A123",36,"A142","A152","2","A173","1","A192","A201","0",1
"366","A14",12,"A32","A49",1542,"A61","A74","2","A93","A101","4","A123",36,"A143","A152","1","A173","1","A192","A201","0",0
"371","A14",36,"A32","A40",3079,"A65","A73","4","A93","A101","4","A121",36,"A143","A152","1","A173","1","A191","A201","0",0
"372","A14",18,"A34","A43",6070,"A61","A75","3","A93","A101","4","A123",33,"A143","A152","2","A173","1","A192","A201","0",0
"375","A12",60,"A31","A410",12000,"A62","A75","3","A92","A101","4","A124",60,"A141","A153","2","A174","1","A192","A201","1",1
"378","A14",7,"A33","A43",846,"A65","A75","3","A93","A101","4","A124",36,"A143","A153","1","A173","1","A191","A201","0",0
"379","A12",36,"A32","A40",12000,"A61","A75","4","A93","A101","2","A124",57,"A143","A153","1","A174","1","A192","A201","1",1
"381","A11",20,"A32","A42",2212,"A65","A74","4","A93","A101","4","A123",39,"A143","A152","1","A173","1","A192","A201","0",0
"382","A12",18,"A32","A41",12000,"A61","A71","3","A92","A101","4","A124",38,"A143","A153","1","A174","1","A192","A201","1",1
"383","A14",22,"A32","A40",1283,"A65","A74","4","A92","A101","4","A122",25,"A143","A151","1","A173","1","A191","A201","0",0
"384","A13",12,"A32","A40",1330,"A61","A72","4","A93","A101","1","A121",26,"A143","A152","1","A173","1","A191","A201","0",0
"389","A12",15,"A34","A49",2326,"A63","A73","2","A93","A101","4","A123",27,"A141","A152","1","A173","1","A191","A201","0",0
"394","A11",6,"A34","A43",1957,"A61","A74","1","A92","A101","4","A123",31,"A143","A152","1","A173","1","A191","A201","0",0
"397","A11",12,"A32","A42",2578,"A61","A71","3","A92","A101","4","A124",55,"A143","A153","1","A174","1","A191","A201","0",1
"400","A14",24,"A34","A43",1516,"A64","A73","4","A92","A101","1","A121",43,"A143","A152","2","A172","1","A191","A201","0",0
"403","A14",24,"A33","A49",8648,"A61","A72","2","A93","A101","2","A123",27,"A141","A152","2","A173","1","A192","A201","1",0
"405","A12",18,"A33","A40",2899,"A65","A75","4","A93","A101","4","A123",43,"A143","A152","1","A173","2","A191","A201","0",0
"407","A14",24,"A34","A41",2197,"A65","A74","4","A93","A101","4","A123",43,"A143","A152","2","A173","2","A192","A201","0",0
"408","A11",15,"A32","A43",1053,"A61","A72","4","A94","A101","2","A121",27,"A143","A152","1","A173","1","A191","A202","0",0
"414","A14",10,"A32","A40",1597,"A63","A73","3","A93","A101","2","A124",40,"A143","A151","1","A172","2","A191","A202","0",0
"416","A14",36,"A34","A41",5842,"A61","A75","2","A93","A101","2","A122",35,"A143","A152","2","A173","2","A192","A201","0",0
"418","A11",18,"A33","A46",8471,"A65","A73","1","A92","A101","2","A123",23,"A143","A151","2","A173","1","A192","A201","0",1
"419","A14",21,"A32","A40",2782,"A63","A74","1","A92","A101","2","A123",31,"A141","A152","1","A174","1","A191","A201","0",0
"422","A12",12,"A32","A41",2028,"A65","A73","4","A93","A101","2","A123",30,"A143","A152","1","A173","1","A191","A201","0",0
"423","A12",12,"A34","A40",958,"A61","A74","2","A93","A101","3","A121",47,"A143","A152","2","A172","2","A191","A201","0",0
"435","A11",9,"A32","A42",2136,"A61","A73","3","A93","A101","2","A121",25,"A143","A152","1","A173","1","A191","A201","0",1
"437","A14",6,"A32","A45",660,"A63","A74","2","A94","A101","4","A121",23,"A143","A151","1","A172","1","A191","A201","0",0
"441","A14",12,"A32","A40",1884,"A61","A75","4","A93","A101","4","A123",39,"A143","A152","1","A174","1","A192","A201","0",0
"442","A11",12,"A32","A42",1620,"A61","A73","2","A92","A102","3","A122",30,"A143","A152","1","A173","1","A191","A201","0",1
"443","A12",20,"A33","A410",2629,"A61","A73","2","A93","A101","3","A123",29,"A141","A152","2","A173","1","A192","A201","0",0
"445","A12",48,"A34","A42",5096,"A61","A73","2","A92","A101","3","A123",30,"A143","A152","1","A174","1","A192","A201","1",1
"456","A14",24,"A32","A41",2679,"A61","A72","4","A92","A101","1","A124",29,"A143","A152","1","A174","1","A192","A201","0",0
"458","A11",12,"A32","A41",3386,"A61","A75","3","A93","A101","4","A124",35,"A143","A153","1","A173","1","A192","A201","1",1
"459","A11",6,"A32","A44",343,"A61","A72","4","A92","A101","1","A121",27,"A143","A152","1","A173","1","A191","A201","0",1
"460","A14",18,"A32","A43",4594,"A61","A72","3","A93","A101","2","A123",32,"A143","A152","1","A173","1","A192","A201","0",0
"468","A14",48,"A33","A43",7238,"A65","A75","3","A93","A101","3","A123",32,"A141","A152","2","A173","2","A191","A201","0",0
"470","A14",24,"A33","A41",4679,"A61","A74","3","A93","A101","3","A123",35,"A143","A152","2","A172","1","A192","A201","0",0
"471","A12",24,"A32","A43",3092,"A62","A72","3","A94","A101","2","A123",22,"A143","A151","1","A173","1","A192","A201","1",1
"473","A11",9,"A32","A40",654,"A61","A73","4","A93","A101","3","A123",28,"A143","A152","1","A172","1","A191","A201","1",1
"475","A12",18,"A34","A43",1245,"A61","A73","4","A94","A101","2","A123",33,"A143","A152","1","A173","1","A191","A201","1",0
"476","A11",18,"A30","A42",3114,"A61","A72","1","A92","A101","4","A122",26,"A143","A151","1","A173","1","A191","A201","1",1
"480","A11",15,"A34","A42",1478,"A61","A75","4","A93","A101","4","A123",44,"A143","A152","2","A173","2","A192","A201","0",1
"488","A14",24,"A32","A40",3757,"A61","A75","4","A92","A102","4","A124",62,"A143","A153","1","A173","1","A192","A201","0",1
"493","A14",6,"A34","A43",1237,"A62","A73","1","A92","A101","1","A122",27,"A143","A152","2","A173","1","A191","A201","0",0
"496","A11",24,"A32","A42",2996,"A65","A73","2","A94","A101","4","A123",20,"A143","A152","1","A173","1","A191","A201","1",1
"504","A12",24,"A34","A43",1216,"A62","A72","4","A93","A101","4","A124",38,"A141","A152","2","A173","2","A191","A201","1",1
"505","A11",24,"A32","A40",1207,"A61","A72","4","A92","A101","4","A122",24,"A143","A151","1","A173","1","A191","A201","1",1
"506","A14",10,"A32","A40",1309,"A65","A73","4","A93","A103","4","A122",27,"A143","A152","1","A172","1","A191","A201","1",0
"511","A11",12,"A32","A40",759,"A61","A74","4","A93","A101","2","A121",26,"A143","A152","1","A173","1","A191","A201","1",1
"514","A12",12,"A33","A43",585,"A61","A73","4","A94","A102","4","A121",20,"A143","A151","2","A173","1","A191","A201","0",1
"517","A11",6,"A34","A40",1361,"A61","A72","2","A93","A101","4","A121",40,"A143","A152","1","A172","2","A191","A202","0",0
"524","A14",24,"A32","A41",3488,"A62","A74","3","A92","A101","4","A123",23,"A143","A152","1","A173","1","A191","A201","0",0
"528","A14",4,"A34","A43",1503,"A61","A74","2","A93","A101","1","A121",42,"A143","A152","2","A172","2","A191","A201","0",0
"534","A14",24,"A32","A43",1311,"A62","A74","4","A94","A101","3","A122",26,"A143","A152","1","A173","1","A192","A201","0",0
"535","A14",24,"A32","A43",3105,"A65","A72","4","A93","A101","2","A123",25,"A143","A152","2","A173","1","A191","A201","0",0
"536","A13",21,"A34","A46",2319,"A61","A72","2","A91","A101","1","A123",33,"A143","A151","1","A173","1","A191","A201","1",0
"537","A11",6,"A32","A40",1374,"A65","A71","4","A92","A101","3","A122",75,"A143","A152","1","A174","1","A192","A201","0",1
"539","A11",48,"A32","A40",7763,"A61","A75","4","A93","A101","4","A124",42,"A141","A153","1","A174","1","A191","A201","1",1
"542","A14",24,"A33","A40",2032,"A61","A75","4","A93","A101","4","A124",60,"A143","A153","2","A173","1","A192","A201","0",0
"544","A13",18,"A32","A42",2864,"A61","A73","2","A93","A101","1","A121",34,"A143","A152","1","A172","2","A191","A201","1",0
"545","A14",12,"A34","A40",1255,"A61","A75","4","A93","A101","4","A121",61,"A143","A152","2","A172","1","A191","A201","0",0
"550","A14",48,"A34","A41",8858,"A65","A74","2","A93","A101","1","A124",35,"A143","A153","2","A173","1","A192","A201","0",0
"553","A11",48,"A32","A43",6999,"A61","A74","1","A94","A103","1","A121",34,"A143","A152","2","A173","1","A192","A201","1",1
"554","A12",12,"A34","A40",1995,"A62","A72","4","A93","A101","1","A123",27,"A143","A152","1","A173","1","A191","A201","0",0
"556","A12",12,"A32","A43",1331,"A61","A72","2","A93","A101","1","A123",22,"A142","A152","1","A173","1","A191","A201","1",1
"557","A12",18,"A30","A40",2278,"A62","A72","3","A92","A101","3","A123",28,"A143","A152","2","A173","1","A191","A201","1",1
"559","A11",24,"A31","A42",3552,"A61","A74","3","A93","A101","4","A123",27,"A141","A152","1","A173","1","A191","A201","1",1
"561","A11",24,"A32","A41",2964,"A65","A75","4","A93","A101","4","A124",49,"A141","A153","1","A173","2","A192","A201","0",1
"564","A12",36,"A32","A40",12000,"A65","A73","1","A93","A101","4","A124",37,"A143","A153","1","A173","1","A192","A201","1",1
"566","A12",24,"A33","A43",1553,"A62","A74","3","A92","A101","2","A122",23,"A143","A151","2","A173","1","A192","A201","0",1
"572","A14",30,"A34","A43",5954,"A61","A74","3","A93","A102","2","A123",38,"A143","A152","1","A173","1","A191","A201","0",0
"576","A14",15,"A34","A42",2788,"A61","A74","2","A92","A102","3","A123",24,"A141","A152","2","A173","1","A191","A201","0",0
"581","A12",18,"A34","A40",1056,"A61","A75","3","A93","A103","3","A121",30,"A141","A152","2","A173","1","A191","A201","1",1
"584","A12",36,"A32","A45",2384,"A61","A72","4","A93","A101","1","A124",33,"A143","A151","1","A172","1","A191","A201","1",1
"587","A11",9,"A34","A40",2799,"A61","A73","2","A93","A101","2","A121",36,"A143","A151","2","A173","2","A191","A201","0",1
"593","A14",21,"A32","A49",1572,"A64","A75","4","A92","A101","4","A121",36,"A141","A152","1","A172","1","A191","A201","0",0
"596","A12",6,"A31","A40",931,"A62","A72","1","A92","A101","1","A122",32,"A142","A152","1","A172","1","A191","A201","1",1
"598","A12",24,"A30","A49",4241,"A61","A73","1","A93","A101","4","A121",36,"A143","A152","3","A172","1","A192","A201","1",1
"599","A14",18,"A34","A40",2775,"A61","A74","2","A93","A101","2","A122",31,"A141","A152","2","A173","1","A191","A201","1",0
"608","A12",36,"A32","A43",2671,"A62","A73","4","A92","A102","4","A124",50,"A143","A153","1","A173","1","A191","A201","1",1
"610","A14",15,"A32","A41",1300,"A65","A75","4","A93","A101","4","A124",45,"A141","A153","1","A173","2","A191","A201","0",0
"614","A11",24,"A31","A41",3632,"A61","A73","1","A92","A103","4","A123",22,"A141","A151","1","A173","1","A191","A202","0",0
"618","A11",6,"A34","A40",3676,"A61","A73","1","A93","A101","3","A121",37,"A143","A151","3","A173","2","A191","A201","0",1
"621","A12",21,"A34","A49",3652,"A61","A74","2","A93","A101","3","A122",27,"A143","A152","2","A173","1","A191","A201","0",0
"625","A11",18,"A32","A43",2600,"A61","A73","4","A93","A101","4","A124",65,"A143","A153","2","A173","1","A191","A201","1",1
"626","A14",15,"A32","A43",1979,"A65","A75","4","A93","A101","2","A123",35,"A143","A152","1","A173","1","A191","A201","0",0
"634","A14",9,"A32","A42",1980,"A61","A72","2","A92","A102","2","A123",19,"A143","A151","2","A173","1","A191","A201","1",0
"635","A12",24,"A32","A40",1355,"A61","A72","3","A92","A101","4","A123",25,"A143","A152","1","A172","1","A192","A201","1",1
"638","A14",60,"A33","A43",12000,"A61","A74","2","A93","A101","4","A123",21,"A143","A152","2","A173","1","A192","A201","0",0
"639","A14",12,"A32","A43",1493,"A61","A72","4","A92","A101","3","A123",34,"A143","A152","1","A173","2","A191","A201","0",0
"647","A11",30,"A30","A42",4583,"A61","A73","2","A91","A103","2","A121",32,"A143","A152","2","A173","1","A191","A201","0",1
"648","A14",12,"A32","A40",1386,"A63","A73","2","A92","A101","2","A122",26,"A143","A152","1","A173","1","A191","A201","1",0
"649","A13",24,"A32","A40",947,"A61","A74","4","A93","A101","3","A124",38,"A141","A153","1","A173","2","A191","A201","1",1
"651","A11",48,"A32","A46",7476,"A61","A74","4","A93","A101","1","A124",50,"A143","A153","1","A174","1","A192","A201","0",1
"652","A12",12,"A32","A42",1922,"A61","A73","4","A93","A101","2","A122",37,"A143","A152","1","A172","1","A191","A201","1",1
"654","A12",36,"A33","A40",8086,"A62","A75","2","A93","A101","4","A123",42,"A143","A152","4","A174","1","A192","A201","1",1
"655","A14",24,"A34","A41",2346,"A61","A74","4","A93","A101","3","A123",35,"A143","A152","2","A173","1","A192","A201","0",0
"656","A11",14,"A32","A40",3973,"A61","A71","1","A93","A101","4","A124",22,"A143","A153","1","A173","1","A191","A201","0",1
"658","A14",48,"A32","A43",10222,"A65","A74","4","A93","A101","3","A123",37,"A142","A152","1","A173","1","A192","A201","0",0
"659","A12",30,"A30","A49",4221,"A61","A73","2","A92","A101","1","A123",28,"A143","A152","2","A173","1","A191","A201","0",1
"665","A13",6,"A34","A46",1047,"A61","A73","2","A92","A101","4","A122",50,"A143","A152","1","A172","1","A191","A201","0",0
"666","A14",24,"A34","A410",6314,"A61","A71","4","A93","A102","2","A124",27,"A141","A152","2","A174","1","A192","A201","0",0
"670","A13",30,"A34","A43",3017,"A61","A75","4","A93","A101","4","A122",47,"A143","A152","1","A173","1","A191","A201","0",0
"672","A14",36,"A32","A49",5742,"A62","A74","2","A93","A101","2","A123",31,"A143","A152","2","A173","1","A192","A201","0",0
"688","A12",36,"A33","A40",2862,"A62","A75","4","A93","A101","3","A124",30,"A143","A153","1","A173","1","A191","A201","0",1
"690","A11",12,"A32","A40",3651,"A64","A73","1","A93","A101","3","A122",31,"A143","A152","1","A173","2","A191","A201","0",0
"698","A14",12,"A34","A40",926,"A61","A71","1","A92","A101","2","A122",38,"A143","A152","1","A171","1","A191","A201","0",0
"700","A13",15,"A32","A46",1905,"A61","A75","4","A93","A101","4","A123",40,"A143","A151","1","A174","1","A192","A201","0",1
"710","A12",9,"A32","A43",2118,"A61","A73","2","A93","A101","2","A121",37,"A143","A152","1","A172","2","A191","A201","0",0
"714","A11",9,"A34","A43",1138,"A61","A73","4","A93","A101","4","A121",25,"A143","A152","2","A172","1","A191","A201","0",0
"725","A14",27,"A32","A40",2570,"A61","A73","3","A92","A101","3","A121",21,"A143","A151","1","A173","1","A191","A201","1",1
"733","A12",8,"A32","A43",760,"A61","A74","4","A92","A103","2","A121",44,"A143","A152","1","A172","1","A191","A201","0",0
